,0
0,8.78587198257
1,8.41678309441
2,8.61385989189
3,8.69192504883
4,9.31428694725
5,9.24208498001
6,8.25073003769
7,9.21046590805
8,8.57420802116
9,9.23134899139
10,8.41683506966
11,8.43146705627
12,9.21763110161
13,9.14568114281
14,8.26503896713
15,10.6573719978
16,8.36520290375
17,9.20765995979
18,9.30619812012
19,9.28808307648
20,9.48955488205
21,9.14880108833
22,9.28127384186
23,8.36638593674
24,9.3301858902
25,9.29469799995
26,8.47631692886
27,9.30819106102
28,8.5647919178
29,9.37015080452
30,9.40029597282
31,9.3419110775
32,8.84005403519
33,8.83804512024
34,8.7987651825
35,8.94866895676
36,9.19573903084
37,9.27458000183
38,9.30961990356
39,9.18275809288
40,8.56148290634
41,9.12496614456
42,9.30899620056
43,8.92701601982
44,8.57787013054
45,9.16744399071
46,8.30622315407
47,9.14432287216
48,8.86664700508
49,9.9157538414
